========================================================================================================================
CASO 1 — BARRIDO QAOA + TTS99
========================================================================================================================
Variables/qubits: 20
p/reps: 1
Iteraciones: [1, 3, 5, 10, 15, 20, 25, 30]
Shots: [20, 40, 80, 160]
Seed: 20260902
Optimo exacto: 2

iter= 1 | shots= 20 | t=  78.044s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 1 | shots= 40 | t=  68.917s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 1 | shots= 80 | t=  66.679s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 1 | shots=160 | t=  66.436s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 3 | shots= 20 | t=  68.356s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 3 | shots= 40 | t=  78.227s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 3 | shots= 80 | t=  78.604s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 3 | shots=160 | t=  74.824s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 5 | shots= 20 | t=  87.512s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 5 | shots= 40 | t=  86.251s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 5 | shots= 80 | t=  89.424s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter= 5 | shots=160 | t=  87.923s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter=10 | shots= 20 | t= 155.818s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
iter=10 | shots= 40 | t= 151.236s | p_fact/shot=  0.000% | p_opt/shot=  0.000% | Pbatch_fact=  0.000% | Pbatch_opt=  0.000% | TTS99_fact=infs | TTS99_opt=infs
